التاريخ,الفرع,الصنف,الفئة,الكمية,سعر الوحدة,الإجمالي
2026-05-01,فرع السوق,صنف-174,حلويات,37,145.51,5383.87
2026-05-01,فرع السوق,صنف-198,وجبات,3,229.19,687.57
2026-05-01,فرع السوق,صنف-181,مشروبات,13,194.7,2531.1
2026-05-01,فرع السوق,صنف-136,خدمات,7,93.91,657.37
2026-05-02,فرع السوق,صنف-197,وجبات,5,79.48,397.4
2026-05-02,فرع السوق,صنف-181,حلويات,24,129.68,3112.32
2026-05-02,فرع السوق,صنف-191,وجبات,23,218.85,5033.55
2026-05-03,فرع السوق,صنف-185,حلويات,4,177.54,710.16
2026-05-03,فرع السوق,صنف-131,حلويات,31,128.41,3980.71
2026-05-03,فرع السوق,صنف-126,وجبات,23,41.95,964.85
2026-05-03,فرع السوق,صنف-150,مشروبات,30,104.22,3126.6
2026-05-03,فرع السوق,صنف-175,خدمات,20,232.72,4654.4
2026-05-04,فرع السوق,صنف-132,وجبات,20,181.36,3627.2
2026-05-04,فرع السوق,صنف-143,خدمات,36,166.42,5991.12
2026-05-05,فرع السوق,صنف-174,وجبات,38,231.57,8799.66
2026-05-05,فرع السوق,صنف-159,وجبات,20,147.22,2944.4
2026-05-06,فرع السوق,صنف-140,مستلزمات,5,210.45,1052.25
2026-05-06,فرع السوق,صنف-169,وجبات,18,224.94,4048.92
2026-05-06,فرع السوق,صنف-130,مشروبات,11,158.48,1743.28
2026-05-06,فرع السوق,صنف-157,مشروبات,14,16.69,233.66
2026-05-07,فرع السوق,صنف-182,خدمات,19,216.7,4117.3
2026-05-07,فرع السوق,صنف-107,مشروبات,13,64.23,834.99
2026-05-07,فرع السوق,صنف-109,وجبات,39,16.91,659.49
2026-05-08,فرع السوق,صنف-168,وجبات,1,51.1,51.1
2026-05-08,فرع السوق,صنف-127,مشروبات,21,231.11,4853.31
2026-05-08,فرع السوق,صنف-103,حلويات,21,217.59,4569.39
2026-05-08,فرع السوق,صنف-143,مستلزمات,26,154.4,4014.4
2026-05-09,فرع السوق,صنف-111,مشروبات,27,200.08,5402.16
2026-05-09,فرع السوق,صنف-176,خدمات,22,195.11,4292.42
2026-05-09,فرع السوق,صنف-101,مستلزمات,17,235.36,4001.12
