التاريخ,الفرع,الصنف,الفئة,الكمية,سعر الوحدة,الإجمالي
2026-05-01,فرع الشمال,صنف-182,مشروبات,10,235.18,2351.8
2026-05-01,فرع الشمال,صنف-117,حلويات,10,67.01,670.1
2026-05-01,فرع الشمال,صنف-112,مستلزمات,15,187.94,2819.1
2026-05-01,فرع الشمال,صنف-185,مستلزمات,32,44.88,1436.16
2026-05-02,فرع الشمال,صنف-151,وجبات,28,248.55,6959.4
2026-05-02,فرع الشمال,صنف-140,حلويات,27,52.96,1429.92
2026-05-02,فرع الشمال,صنف-170,مشروبات,24,9.77,234.48
2026-05-03,فرع الشمال,صنف-166,مستلزمات,2,99.16,198.32
2026-05-03,فرع الشمال,صنف-108,خدمات,19,130.5,2479.5
2026-05-03,فرع الشمال,صنف-113,مشروبات,15,243.07,3646.05
2026-05-03,فرع الشمال,صنف-199,مشروبات,17,71.62,1217.54
2026-05-03,فرع الشمال,صنف-154,وجبات,18,190.17,3423.06
2026-05-04,فرع الشمال,صنف-165,مستلزمات,10,136.47,1364.7
2026-05-04,فرع الشمال,صنف-111,خدمات,32,176.6,5651.2
2026-05-04,فرع الشمال,صنف-123,حلويات,4,200.9,803.6
2026-05-04,فرع الشمال,صنف-102,مستلزمات,5,70.89,354.45
2026-05-05,فرع الشمال,صنف-128,حلويات,6,154.0,924.0
2026-05-05,فرع الشمال,صنف-158,مشروبات,17,216.38,3678.46
2026-05-06,فرع الشمال,صنف-134,حلويات,36,107.35,3864.6
2026-05-06,فرع الشمال,صنف-190,خدمات,9,15.59,140.31
2026-05-07,فرع الشمال,صنف-123,مشروبات,11,69.16,760.76
2026-05-07,فرع الشمال,صنف-167,وجبات,20,159.02,3180.4
2026-05-07,فرع الشمال,صنف-186,وجبات,19,114.19,2169.61
2026-05-08,فرع الشمال,صنف-132,حلويات,23,201.9,4643.7
2026-05-08,فرع الشمال,صنف-164,مشروبات,1,9.52,9.52
