التاريخ,الفرع,الصنف,الفئة,الكمية,سعر الوحدة,الإجمالي
2026-05-01,الفرع الرئيسي,صنف-109,وجبات,26,164.48,4276.48
2026-05-01,الفرع الرئيسي,صنف-107,خدمات,7,94.59,662.13
2026-05-01,الفرع الرئيسي,صنف-155,خدمات,14,14.19,198.66
2026-05-01,الفرع الرئيسي,صنف-170,مستلزمات,5,63.96,319.8
2026-05-02,الفرع الرئيسي,صنف-128,مشروبات,37,35.33,1307.21
2026-05-02,الفرع الرئيسي,صنف-150,خدمات,4,146.39,585.56
2026-05-02,الفرع الرئيسي,صنف-117,مشروبات,15,16.41,246.15
2026-05-02,الفرع الرئيسي,صنف-115,حلويات,27,40.34,1089.18
2026-05-02,الفرع الرئيسي,صنف-187,خدمات,20,142.26,2845.2
2026-05-03,الفرع الرئيسي,صنف-124,مشروبات,38,144.95,5508.1
2026-05-03,الفرع الرئيسي,صنف-108,حلويات,7,139.2,974.4
2026-05-03,الفرع الرئيسي,صنف-163,خدمات,4,156.66,626.64
2026-05-04,الفرع الرئيسي,صنف-158,حلويات,30,148.46,4453.8
2026-05-04,الفرع الرئيسي,صنف-123,حلويات,20,65.86,1317.2
2026-05-04,الفرع الرئيسي,صنف-167,وجبات,6,145.73,874.38
2026-05-04,الفرع الرئيسي,صنف-136,مستلزمات,22,183.71,4041.62
2026-05-04,الفرع الرئيسي,صنف-153,خدمات,5,33.93,169.65
2026-05-05,الفرع الرئيسي,صنف-153,حلويات,10,233.65,2336.5
2026-05-05,الفرع الرئيسي,صنف-173,مشروبات,5,192.32,961.6
2026-05-05,الفرع الرئيسي,صنف-176,حلويات,22,175.35,3857.7
2026-05-06,الفرع الرئيسي,صنف-111,خدمات,30,21.85,655.5
2026-05-06,الفرع الرئيسي,صنف-108,حلويات,31,175.78,5449.18
2026-05-06,الفرع الرئيسي,صنف-187,مشروبات,20,163.55,3271.0
2026-05-06,الفرع الرئيسي,صنف-185,مستلزمات,19,180.57,3430.83
2026-05-06,الفرع الرئيسي,صنف-145,حلويات,2,235.46,470.92
2026-05-07,الفرع الرئيسي,صنف-127,خدمات,8,125.95,1007.6
2026-05-07,الفرع الرئيسي,صنف-150,حلويات,9,185.9,1673.1
2026-05-07,الفرع الرئيسي,صنف-157,مستلزمات,32,24.74,791.68
2026-05-08,الفرع الرئيسي,صنف-155,خدمات,18,221.43,3985.74
2026-05-08,الفرع الرئيسي,صنف-145,خدمات,18,178.07,3205.26
2026-05-08,الفرع الرئيسي,صنف-122,مستلزمات,15,41.98,629.7
2026-05-08,الفرع الرئيسي,صنف-101,وجبات,15,166.34,2495.1
2026-05-08,الفرع الرئيسي,صنف-136,مستلزمات,38,49.67,1887.46
