التاريخ,الفرع,الصنف,الفئة,الكمية,سعر الوحدة,الإجمالي
2026-05-01,فرع الكورنيش,صنف-155,مستلزمات,3,154.09,462.27
2026-05-01,فرع الكورنيش,صنف-194,وجبات,20,43.27,865.4
2026-05-02,فرع الكورنيش,صنف-122,خدمات,20,159.22,3184.4
2026-05-02,فرع الكورنيش,صنف-191,خدمات,15,144.69,2170.35
2026-05-03,فرع الكورنيش,صنف-100,مستلزمات,37,90.51,3348.87
2026-05-03,فرع الكورنيش,صنف-174,مشروبات,19,225.76,4289.44
2026-05-03,فرع الكورنيش,صنف-187,خدمات,4,243.66,974.64
2026-05-03,فرع الكورنيش,صنف-126,مشروبات,3,198.9,596.7
2026-05-04,فرع الكورنيش,صنف-150,مشروبات,27,175.2,4730.4
2026-05-04,فرع الكورنيش,صنف-111,خدمات,15,73.89,1108.35
2026-05-04,فرع الكورنيش,صنف-143,حلويات,28,113.43,3176.04
2026-05-04,فرع الكورنيش,صنف-186,خدمات,29,129.62,3758.98
2026-05-05,فرع الكورنيش,صنف-199,مستلزمات,33,212.41,7009.53
2026-05-05,فرع الكورنيش,صنف-105,وجبات,32,191.67,6133.44
2026-05-05,فرع الكورنيش,صنف-120,خدمات,17,47.76,811.92
2026-05-06,فرع الكورنيش,صنف-107,خدمات,17,66.17,1124.89
2026-05-06,فرع الكورنيش,صنف-111,وجبات,23,90.07,2071.61
2026-05-06,فرع الكورنيش,صنف-187,وجبات,20,38.61,772.2
2026-05-07,فرع الكورنيش,صنف-100,مستلزمات,16,177.88,2846.08
2026-05-07,فرع الكورنيش,صنف-182,خدمات,29,37.61,1090.69
2026-05-07,فرع الكورنيش,صنف-190,حلويات,20,37.68,753.6
2026-05-07,فرع الكورنيش,صنف-142,وجبات,38,143.0,5434.0
2026-05-07,فرع الكورنيش,صنف-121,مشروبات,36,109.04,3925.44
2026-05-08,فرع الكورنيش,صنف-151,خدمات,30,210.67,6320.1
2026-05-08,فرع الكورنيش,صنف-101,وجبات,8,174.08,1392.64
2026-05-08,فرع الكورنيش,صنف-107,حلويات,32,55.58,1778.56
2026-05-09,فرع الكورنيش,صنف-139,حلويات,13,32.1,417.3
2026-05-09,فرع الكورنيش,صنف-156,مستلزمات,8,44.52,356.16
2026-05-09,فرع الكورنيش,صنف-121,مستلزمات,37,93.93,3475.41
2026-05-09,فرع الكورنيش,صنف-159,خدمات,5,16.17,80.85
2026-05-10,فرع الكورنيش,صنف-172,مشروبات,22,245.15,5393.3
2026-05-10,فرع الكورنيش,صنف-155,حلويات,7,163.05,1141.35
2026-05-10,فرع الكورنيش,صنف-141,مستلزمات,13,197.05,2561.65
2026-05-10,فرع الكورنيش,صنف-182,مشروبات,23,230.29,5296.67
2026-05-10,فرع الكورنيش,صنف-183,حلويات,40,234.14,9365.6
2026-05-11,فرع الكورنيش,صنف-103,وجبات,6,38.97,233.82
2026-05-11,فرع الكورنيش,صنف-137,مشروبات,26,210.7,5478.2
2026-05-11,فرع الكورنيش,صنف-167,حلويات,12,240.7,2888.4
2026-05-11,فرع الكورنيش,صنف-139,وجبات,7,197.23,1380.61
2026-05-12,فرع الكورنيش,صنف-145,مستلزمات,12,163.59,1963.08
2026-05-12,فرع الكورنيش,صنف-170,حلويات,15,95.29,1429.35
2026-05-12,فرع الكورنيش,صنف-105,حلويات,17,63.65,1082.05
2026-05-12,فرع الكورنيش,صنف-190,مشروبات,37,201.68,7462.16
2026-05-13,فرع الكورنيش,صنف-163,مشروبات,14,126.12,1765.68
2026-05-13,فرع الكورنيش,صنف-180,وجبات,20,152.64,3052.8
2026-05-13,فرع الكورنيش,صنف-120,مشروبات,10,173.56,1735.6
2026-05-13,فرع الكورنيش,صنف-151,وجبات,29,161.01,4669.29
2026-05-13,فرع الكورنيش,صنف-161,مشروبات,3,213.41,640.23
2026-05-14,فرع الكورنيش,صنف-178,وجبات,24,5.69,136.56
2026-05-14,فرع الكورنيش,صنف-109,خدمات,28,40.07,1121.96
2026-05-14,فرع الكورنيش,صنف-143,مشروبات,33,179.14,5911.62
2026-05-15,فرع الكورنيش,صنف-122,مستلزمات,1,168.2,168.2
2026-05-15,فرع الكورنيش,صنف-156,وجبات,25,77.46,1936.5
2026-05-16,فرع الكورنيش,صنف-169,خدمات,13,119.87,1558.31
2026-05-16,فرع الكورنيش,صنف-168,حلويات,34,117.82,4005.88
2026-05-16,فرع الكورنيش,صنف-179,وجبات,26,240.65,6256.9
2026-05-16,فرع الكورنيش,صنف-142,مشروبات,4,182.08,728.32
2026-05-17,فرع الكورنيش,صنف-147,خدمات,37,108.18,4002.66
2026-05-17,فرع الكورنيش,صنف-143,مستلزمات,9,78.33,704.97
2026-05-17,فرع الكورنيش,صنف-128,خدمات,2,212.79,425.58
2026-05-17,فرع الكورنيش,صنف-174,مستلزمات,6,40.99,245.94
2026-05-18,فرع الكورنيش,صنف-146,خدمات,38,236.08,8971.04
2026-05-18,فرع الكورنيش,صنف-150,خدمات,16,143.38,2294.08
2026-05-18,فرع الكورنيش,صنف-125,حلويات,8,60.67,485.36
2026-05-18,فرع الكورنيش,صنف-132,خدمات,8,59.21,473.68
2026-05-19,فرع الكورنيش,صنف-190,وجبات,34,169.21,5753.14
2026-05-19,فرع الكورنيش,صنف-128,مستلزمات,15,140.74,2111.1
2026-05-20,فرع الكورنيش,صنف-152,خدمات,38,143.88,5467.44
2026-05-20,فرع الكورنيش,صنف-164,مشروبات,29,37.9,1099.1
2026-05-21,فرع الكورنيش,صنف-187,خدمات,7,117.7,823.9
2026-05-21,فرع الكورنيش,صنف-124,مستلزمات,35,46.96,1643.6
2026-05-22,فرع الكورنيش,صنف-179,مشروبات,9,96.47,868.23
2026-05-22,فرع الكورنيش,صنف-147,مشروبات,26,63.04,1639.04
2026-05-22,فرع الكورنيش,صنف-127,مشروبات,1,176.97,176.97
2026-05-22,فرع الكورنيش,صنف-117,مستلزمات,20,34.53,690.6
2026-05-22,فرع الكورنيش,صنف-125,مستلزمات,6,157.19,943.14
2026-05-23,فرع الكورنيش,صنف-143,حلويات,11,94.91,1044.01
2026-05-23,فرع الكورنيش,صنف-147,مشروبات,17,35.07,596.19
2026-05-24,فرع الكورنيش,صنف-145,مستلزمات,3,205.05,615.15
2026-05-24,فرع الكورنيش,صنف-177,مشروبات,23,139.46,3207.58
2026-05-24,فرع الكورنيش,صنف-186,مشروبات,3,231.71,695.13
2026-05-24,فرع الكورنيش,صنف-188,وجبات,17,91.82,1560.94
2026-05-25,فرع الكورنيش,صنف-102,مشروبات,38,112.77,4285.26
2026-05-25,فرع الكورنيش,صنف-133,مستلزمات,8,23.07,184.56
2026-05-25,فرع الكورنيش,صنف-137,وجبات,10,140.79,1407.9
2026-05-25,فرع الكورنيش,صنف-132,مستلزمات,10,149.14,1491.4
2026-05-25,فرع الكورنيش,صنف-101,خدمات,18,237.45,4274.1
2026-05-26,فرع الكورنيش,صنف-161,حلويات,10,124.36,1243.6
2026-05-26,فرع الكورنيش,صنف-179,مشروبات,3,23.28,69.84
2026-05-27,فرع الكورنيش,صنف-157,مستلزمات,11,174.77,1922.47
2026-05-27,فرع الكورنيش,صنف-178,مستلزمات,15,218.89,3283.35
2026-05-27,فرع الكورنيش,صنف-167,خدمات,5,93.43,467.15
2026-05-27,فرع الكورنيش,صنف-175,وجبات,20,224.03,4480.6
2026-05-27,فرع الكورنيش,صنف-146,خدمات,3,56.79,170.37
2026-05-28,فرع الكورنيش,صنف-145,حلويات,37,119.76,4431.12
2026-05-28,فرع الكورنيش,صنف-161,حلويات,1,87.2,87.2
2026-05-28,فرع الكورنيش,صنف-158,حلويات,15,10.03,150.45
2026-05-28,فرع الكورنيش,صنف-193,خدمات,3,159.56,478.68
2026-05-28,فرع الكورنيش,صنف-108,وجبات,18,99.19,1785.42
