التاريخ,الفرع,الصنف,الفئة,الكمية,سعر الوحدة,الإجمالي
2026-05-01,فرع الجامعة,صنف-130,حلويات,32,132.57,4242.24
2026-05-01,فرع الجامعة,صنف-148,خدمات,24,133.23,3197.52
2026-05-01,فرع الجامعة,صنف-100,حلويات,2,141.27,282.54
2026-05-02,فرع الجامعة,صنف-191,مشروبات,38,48.72,1851.36
2026-05-02,فرع الجامعة,صنف-132,خدمات,18,229.65,4133.7
2026-05-02,فرع الجامعة,صنف-111,وجبات,17,209.36,3559.12
2026-05-02,فرع الجامعة,صنف-125,خدمات,32,215.43,6893.76
2026-05-03,فرع الجامعة,صنف-147,مستلزمات,19,156.38,2971.22
2026-05-03,فرع الجامعة,صنف-105,مشروبات,29,97.05,2814.45
2026-05-03,فرع الجامعة,صنف-177,حلويات,27,110.59,2985.93
2026-05-04,فرع الجامعة,صنف-174,حلويات,16,99.41,1590.56
2026-05-04,فرع الجامعة,صنف-191,وجبات,40,51.94,2077.6
2026-05-04,فرع الجامعة,صنف-126,خدمات,24,20.52,492.48
2026-05-04,فرع الجامعة,صنف-157,حلويات,5,24.59,122.95
2026-05-05,فرع الجامعة,صنف-182,مستلزمات,34,106.6,3624.4
2026-05-05,فرع الجامعة,صنف-159,مشروبات,7,150.23,1051.61
2026-05-05,فرع الجامعة,صنف-160,مستلزمات,28,106.65,2986.2
2026-05-05,فرع الجامعة,صنف-162,وجبات,5,112.76,563.8
2026-05-05,فرع الجامعة,صنف-101,وجبات,33,189.44,6251.52
2026-05-06,فرع الجامعة,صنف-187,وجبات,26,137.71,3580.46
2026-05-06,فرع الجامعة,صنف-149,حلويات,36,85.89,3092.04
2026-05-06,فرع الجامعة,صنف-109,مستلزمات,8,27.06,216.48
2026-05-07,فرع الجامعة,صنف-196,مشروبات,32,26.62,851.84
2026-05-07,فرع الجامعة,صنف-187,وجبات,37,116.3,4303.1
2026-05-08,فرع الجامعة,صنف-170,حلويات,31,216.43,6709.33
2026-05-08,فرع الجامعة,صنف-152,مستلزمات,38,39.35,1495.3
2026-05-08,فرع الجامعة,صنف-124,مشروبات,10,83.52,835.2
2026-05-09,فرع الجامعة,صنف-133,وجبات,35,72.29,2530.15
2026-05-09,فرع الجامعة,صنف-184,مشروبات,21,99.01,2079.21
2026-05-10,فرع الجامعة,صنف-153,خدمات,26,130.19,3384.94
2026-05-10,فرع الجامعة,صنف-148,مشروبات,20,79.6,1592.0
2026-05-10,فرع الجامعة,صنف-125,مستلزمات,35,67.99,2379.65
2026-05-10,فرع الجامعة,صنف-183,وجبات,4,55.84,223.36
2026-05-11,فرع الجامعة,صنف-118,مستلزمات,32,178.92,5725.44
2026-05-11,فرع الجامعة,صنف-190,حلويات,22,54.07,1189.54
2026-05-11,فرع الجامعة,صنف-101,خدمات,4,183.67,734.68
2026-05-11,فرع الجامعة,صنف-172,خدمات,5,105.19,525.95
2026-05-12,فرع الجامعة,صنف-156,مشروبات,18,58.82,1058.76
2026-05-12,فرع الجامعة,صنف-175,حلويات,13,179.09,2328.17
2026-05-12,فرع الجامعة,صنف-193,خدمات,30,104.47,3134.1
2026-05-12,فرع الجامعة,صنف-107,مستلزمات,14,220.13,3081.82
2026-05-13,فرع الجامعة,صنف-109,مستلزمات,8,17.0,136.0
2026-05-13,فرع الجامعة,صنف-192,خدمات,32,49.14,1572.48
2026-05-13,فرع الجامعة,صنف-186,خدمات,11,127.06,1397.66
2026-05-14,فرع الجامعة,صنف-118,وجبات,35,210.38,7363.3
2026-05-14,فرع الجامعة,صنف-112,وجبات,34,29.71,1010.14
2026-05-14,فرع الجامعة,صنف-153,وجبات,6,237.96,1427.76
2026-05-14,فرع الجامعة,صنف-156,وجبات,17,178.02,3026.34
2026-05-15,فرع الجامعة,صنف-117,وجبات,4,231.34,925.36
2026-05-15,فرع الجامعة,صنف-137,مشروبات,11,209.85,2308.35
2026-05-15,فرع الجامعة,صنف-190,وجبات,38,200.32,7612.16
2026-05-15,فرع الجامعة,صنف-133,خدمات,10,80.84,808.4
2026-05-15,فرع الجامعة,صنف-119,حلويات,36,211.12,7600.32
2026-05-16,فرع الجامعة,صنف-119,مستلزمات,3,85.27,255.81
2026-05-16,فرع الجامعة,صنف-188,حلويات,15,165.43,2481.45
2026-05-16,فرع الجامعة,صنف-193,مشروبات,13,118.79,1544.27
2026-05-17,فرع الجامعة,صنف-114,مستلزمات,22,171.33,3769.26
2026-05-17,فرع الجامعة,صنف-126,مشروبات,23,34.92,803.16
2026-05-17,فرع الجامعة,صنف-162,خدمات,34,22.87,777.58
2026-05-18,فرع الجامعة,صنف-111,مشروبات,32,222.9,7132.8
2026-05-18,فرع الجامعة,صنف-138,وجبات,32,73.6,2355.2
2026-05-18,فرع الجامعة,صنف-111,خدمات,38,137.48,5224.24
2026-05-18,فرع الجامعة,صنف-198,وجبات,9,120.26,1082.34
2026-05-19,فرع الجامعة,صنف-176,خدمات,20,12.94,258.8
