التاريخ,الفرع,الصنف,الفئة,الكمية,سعر الوحدة,الإجمالي
2026-05-01,فرع الجنوب,صنف-197,وجبات,3,109.17,327.51
2026-05-01,فرع الجنوب,صنف-109,مستلزمات,38,125.01,4750.38
2026-05-02,فرع الجنوب,صنف-131,خدمات,30,243.2,7296.0
2026-05-02,فرع الجنوب,صنف-166,مشروبات,15,42.82,642.3
2026-05-02,فرع الجنوب,صنف-199,مشروبات,30,25.83,774.9
2026-05-02,فرع الجنوب,صنف-129,مشروبات,1,196.66,196.66
2026-05-02,فرع الجنوب,صنف-138,خدمات,3,163.15,489.45
2026-05-03,فرع الجنوب,صنف-189,حلويات,34,160.89,5470.26
2026-05-03,فرع الجنوب,صنف-167,مشروبات,7,22.24,155.68
2026-05-03,فرع الجنوب,صنف-128,خدمات,13,100.08,1301.04
2026-05-04,فرع الجنوب,صنف-158,مشروبات,35,78.87,2760.45
2026-05-04,فرع الجنوب,صنف-131,حلويات,21,162.92,3421.32
2026-05-05,فرع الجنوب,صنف-103,خدمات,16,139.02,2224.32
2026-05-05,فرع الجنوب,صنف-124,مستلزمات,20,18.55,371.0
2026-05-05,فرع الجنوب,صنف-129,مستلزمات,27,24.87,671.49
2026-05-05,فرع الجنوب,صنف-104,مستلزمات,24,60.56,1453.44
2026-05-05,فرع الجنوب,صنف-150,حلويات,27,93.77,2531.79
2026-05-06,فرع الجنوب,صنف-164,مشروبات,19,186.09,3535.71
2026-05-06,فرع الجنوب,صنف-125,مشروبات,14,126.45,1770.3
2026-05-06,فرع الجنوب,صنف-128,حلويات,13,61.55,800.15
2026-05-07,فرع الجنوب,صنف-163,حلويات,7,238.22,1667.54
2026-05-07,فرع الجنوب,صنف-162,خدمات,12,224.64,2695.68
2026-05-07,فرع الجنوب,صنف-118,مستلزمات,4,237.45,949.8
2026-05-07,فرع الجنوب,صنف-176,مستلزمات,4,57.17,228.68
2026-05-08,فرع الجنوب,صنف-123,مستلزمات,4,178.92,715.68
2026-05-08,فرع الجنوب,صنف-140,مستلزمات,29,225.05,6526.45
2026-05-08,فرع الجنوب,صنف-142,مشروبات,6,233.24,1399.44
2026-05-09,فرع الجنوب,صنف-104,وجبات,34,187.85,6386.9
2026-05-09,فرع الجنوب,صنف-142,حلويات,25,210.59,5264.75
2026-05-09,فرع الجنوب,صنف-110,مستلزمات,11,31.69,348.59
2026-05-10,فرع الجنوب,صنف-115,مشروبات,23,107.94,2482.62
2026-05-10,فرع الجنوب,صنف-198,خدمات,14,98.13,1373.82
2026-05-10,فرع الجنوب,صنف-190,حلويات,28,26.5,742.0
2026-05-10,فرع الجنوب,صنف-157,مستلزمات,13,96.32,1252.16
2026-05-11,فرع الجنوب,صنف-160,حلويات,24,185.64,4455.36
2026-05-11,فرع الجنوب,صنف-180,مشروبات,27,65.76,1775.52
2026-05-11,فرع الجنوب,صنف-159,مستلزمات,3,97.01,291.03
2026-05-12,فرع الجنوب,صنف-108,مشروبات,17,52.76,896.92
2026-05-12,فرع الجنوب,صنف-142,خدمات,22,93.93,2066.46
2026-05-13,فرع الجنوب,صنف-138,حلويات,21,231.44,4860.24
2026-05-13,فرع الجنوب,صنف-181,مشروبات,39,229.53,8951.67
2026-05-14,فرع الجنوب,صنف-191,مشروبات,15,31.28,469.2
2026-05-14,فرع الجنوب,صنف-155,مستلزمات,25,198.5,4962.5
2026-05-15,فرع الجنوب,صنف-194,وجبات,32,49.82,1594.24
2026-05-15,فرع الجنوب,صنف-141,حلويات,10,153.78,1537.8
2026-05-15,فرع الجنوب,صنف-176,حلويات,30,93.66,2809.8
2026-05-15,فرع الجنوب,صنف-196,مشروبات,33,53.34,1760.22
2026-05-15,فرع الجنوب,صنف-183,وجبات,16,104.9,1678.4
2026-05-16,فرع الجنوب,صنف-120,مستلزمات,36,138.43,4983.48
2026-05-16,فرع الجنوب,صنف-133,مستلزمات,7,247.02,1729.14
2026-05-17,فرع الجنوب,صنف-190,وجبات,7,108.16,757.12
2026-05-17,فرع الجنوب,صنف-153,مستلزمات,12,62.38,748.56
2026-05-18,فرع الجنوب,صنف-199,خدمات,16,188.25,3012.0
2026-05-18,فرع الجنوب,صنف-172,مشروبات,19,76.98,1462.62
2026-05-18,فرع الجنوب,صنف-133,حلويات,24,67.24,1613.76
2026-05-18,فرع الجنوب,صنف-131,وجبات,29,65.62,1902.98
2026-05-18,فرع الجنوب,صنف-174,وجبات,10,73.93,739.3
2026-05-19,فرع الجنوب,صنف-131,حلويات,5,102.04,510.2
2026-05-19,فرع الجنوب,صنف-112,خدمات,34,61.69,2097.46
2026-05-19,فرع الجنوب,صنف-160,مستلزمات,3,30.07,90.21
2026-05-20,فرع الجنوب,صنف-137,مستلزمات,24,14.89,357.36
2026-05-20,فرع الجنوب,صنف-176,وجبات,8,17.35,138.8
2026-05-20,فرع الجنوب,صنف-147,خدمات,13,232.89,3027.57
2026-05-21,فرع الجنوب,صنف-199,مستلزمات,39,68.69,2678.91
2026-05-21,فرع الجنوب,صنف-190,مشروبات,7,161.18,1128.26
2026-05-21,فرع الجنوب,صنف-147,خدمات,23,58.32,1341.36
2026-05-22,فرع الجنوب,صنف-132,وجبات,3,54.97,164.91
2026-05-22,فرع الجنوب,صنف-126,مشروبات,39,184.4,7191.6
2026-05-22,فرع الجنوب,صنف-147,مشروبات,21,105.2,2209.2
2026-05-22,فرع الجنوب,صنف-126,وجبات,40,81.49,3259.6
2026-05-23,فرع الجنوب,صنف-152,مستلزمات,36,123.46,4444.56
2026-05-23,فرع الجنوب,صنف-119,مشروبات,26,167.69,4359.94
2026-05-24,فرع الجنوب,صنف-152,وجبات,26,175.37,4559.62
2026-05-24,فرع الجنوب,صنف-106,حلويات,20,107.37,2147.4
2026-05-25,فرع الجنوب,صنف-102,خدمات,23,106.45,2448.35
2026-05-25,فرع الجنوب,صنف-151,حلويات,13,100.73,1309.49
2026-05-25,فرع الجنوب,صنف-120,وجبات,1,111.37,111.37
2026-05-25,فرع الجنوب,صنف-151,مستلزمات,8,205.99,1647.92
2026-05-26,فرع الجنوب,صنف-106,مستلزمات,11,36.84,405.24
2026-05-26,فرع الجنوب,صنف-150,خدمات,10,161.96,1619.6
2026-05-26,فرع الجنوب,صنف-147,مشروبات,37,157.44,5825.28
2026-05-26,فرع الجنوب,صنف-136,خدمات,11,40.74,448.14
2026-05-27,فرع الجنوب,صنف-113,خدمات,11,231.75,2549.25
2026-05-27,فرع الجنوب,صنف-125,مستلزمات,32,189.62,6067.84
2026-05-27,فرع الجنوب,صنف-105,حلويات,9,210.14,1891.26
2026-05-28,فرع الجنوب,صنف-181,حلويات,4,153.87,615.48
2026-05-28,فرع الجنوب,صنف-179,مستلزمات,6,226.53,1359.18
2026-05-28,فرع الجنوب,صنف-178,وجبات,15,157.16,2357.4
2026-05-28,فرع الجنوب,صنف-127,وجبات,31,49.83,1544.73
2026-05-28,فرع الجنوب,صنف-120,مشروبات,26,234.94,6108.44
