التاريخ,الفرع,الصنف,الفئة,الكمية,سعر الوحدة,الإجمالي
2026-05-01,فرع الشرق,صنف-192,حلويات,8,41.62,332.96
2026-05-01,فرع الشرق,صنف-196,وجبات,3,221.55,664.65
2026-05-01,فرع الشرق,صنف-176,مشروبات,21,33.84,710.64
2026-05-01,فرع الشرق,صنف-199,مستلزمات,36,213.01,7668.36
2026-05-01,فرع الشرق,صنف-131,حلويات,27,80.51,2173.77
2026-05-02,فرع الشرق,صنف-156,مستلزمات,24,114.46,2747.04
2026-05-02,فرع الشرق,صنف-162,وجبات,2,5.86,11.72
2026-05-02,فرع الشرق,صنف-179,مستلزمات,16,114.47,1831.52
2026-05-02,فرع الشرق,صنف-151,مستلزمات,12,203.58,2442.96
2026-05-02,فرع الشرق,صنف-155,مشروبات,5,36.47,182.35
2026-05-03,فرع الشرق,صنف-184,مشروبات,29,128.56,3728.24
2026-05-03,فرع الشرق,صنف-110,مشروبات,3,160.93,482.79
2026-05-03,فرع الشرق,صنف-196,حلويات,33,24.59,811.47
2026-05-03,فرع الشرق,صنف-117,خدمات,25,164.92,4123.0
2026-05-04,فرع الشرق,صنف-114,مشروبات,40,184.36,7374.4
2026-05-04,فرع الشرق,صنف-162,وجبات,9,245.52,2209.68
2026-05-05,فرع الشرق,صنف-144,وجبات,15,21.05,315.75
2026-05-05,فرع الشرق,صنف-178,خدمات,17,43.9,746.3
2026-05-05,فرع الشرق,صنف-164,حلويات,30,40.18,1205.4
2026-05-05,فرع الشرق,صنف-178,مستلزمات,14,150.01,2100.14
2026-05-06,فرع الشرق,صنف-123,حلويات,24,14.02,336.48
2026-05-06,فرع الشرق,صنف-135,مستلزمات,11,160.96,1770.56
2026-05-06,فرع الشرق,صنف-133,حلويات,25,46.34,1158.5
2026-05-07,فرع الشرق,صنف-146,خدمات,4,160.9,643.6
2026-05-07,فرع الشرق,صنف-188,مستلزمات,36,132.76,4779.36
2026-05-08,فرع الشرق,صنف-150,حلويات,35,159.3,5575.5
2026-05-08,فرع الشرق,صنف-147,حلويات,17,97.06,1650.02
2026-05-09,فرع الشرق,صنف-156,حلويات,22,192.34,4231.48
2026-05-09,فرع الشرق,صنف-106,وجبات,12,155.77,1869.24
2026-05-09,فرع الشرق,صنف-181,حلويات,34,67.14,2282.76
2026-05-10,فرع الشرق,صنف-137,مشروبات,3,59.3,177.9
2026-05-10,فرع الشرق,صنف-146,خدمات,28,107.33,3005.24
2026-05-10,فرع الشرق,صنف-178,مشروبات,9,124.66,1121.94
2026-05-10,فرع الشرق,صنف-172,مشروبات,2,18.33,36.66
2026-05-11,فرع الشرق,صنف-168,حلويات,7,133.16,932.12
2026-05-11,فرع الشرق,صنف-175,وجبات,27,147.98,3995.46
2026-05-11,فرع الشرق,صنف-160,وجبات,14,94.73,1326.22
2026-05-11,فرع الشرق,صنف-131,وجبات,9,8.46,76.14
2026-05-12,فرع الشرق,صنف-118,مستلزمات,7,20.6,144.2
2026-05-12,فرع الشرق,صنف-101,حلويات,26,203.83,5299.58
2026-05-12,فرع الشرق,صنف-176,مشروبات,36,223.71,8053.56
2026-05-13,فرع الشرق,صنف-131,خدمات,34,184.71,6280.14
2026-05-13,فرع الشرق,صنف-168,وجبات,1,15.78,15.78
2026-05-13,فرع الشرق,صنف-120,مشروبات,26,50.49,1312.74
2026-05-13,فرع الشرق,صنف-170,مشروبات,7,8.03,56.21
2026-05-13,فرع الشرق,صنف-166,وجبات,10,106.23,1062.3
2026-05-14,فرع الشرق,صنف-108,خدمات,12,129.6,1555.2
2026-05-14,فرع الشرق,صنف-192,حلويات,4,248.55,994.2
2026-05-14,فرع الشرق,صنف-155,مستلزمات,35,6.56,229.6
2026-05-14,فرع الشرق,صنف-157,مستلزمات,6,186.73,1120.38
2026-05-14,فرع الشرق,صنف-133,وجبات,15,249.17,3737.55
2026-05-15,فرع الشرق,صنف-195,مشروبات,8,87.2,697.6
2026-05-15,فرع الشرق,صنف-170,حلويات,4,70.17,280.68
2026-05-15,فرع الشرق,صنف-137,مستلزمات,34,243.11,8265.74
2026-05-16,فرع الشرق,صنف-133,مشروبات,33,8.73,288.09
2026-05-16,فرع الشرق,صنف-195,وجبات,13,236.45,3073.85
2026-05-16,فرع الشرق,صنف-142,حلويات,13,220.64,2868.32
2026-05-17,فرع الشرق,صنف-167,مستلزمات,35,120.03,4201.05
2026-05-17,فرع الشرق,صنف-192,مشروبات,2,112.12,224.24
2026-05-17,فرع الشرق,صنف-127,وجبات,37,221.77,8205.49
2026-05-18,فرع الشرق,صنف-121,خدمات,38,24.06,914.28
2026-05-18,فرع الشرق,صنف-113,وجبات,3,11.59,34.77
2026-05-18,فرع الشرق,صنف-118,خدمات,11,89.49,984.39
2026-05-18,فرع الشرق,صنف-188,مشروبات,2,15.2,30.4
2026-05-18,فرع الشرق,صنف-108,مشروبات,5,185.51,927.55
2026-05-19,فرع الشرق,صنف-108,وجبات,35,223.36,7817.6
2026-05-19,فرع الشرق,صنف-126,مستلزمات,7,65.41,457.87
2026-05-19,فرع الشرق,صنف-196,مشروبات,3,13.43,40.29
2026-05-19,فرع الشرق,صنف-116,مشروبات,19,121.89,2315.91
2026-05-20,فرع الشرق,صنف-154,وجبات,19,83.19,1580.61
2026-05-20,فرع الشرق,صنف-136,حلويات,2,90.97,181.94
2026-05-21,فرع الشرق,صنف-177,حلويات,21,193.46,4062.66
2026-05-21,فرع الشرق,صنف-179,خدمات,31,213.59,6621.29
2026-05-22,فرع الشرق,صنف-198,مستلزمات,2,111.93,223.86
2026-05-22,فرع الشرق,صنف-106,مشروبات,23,119.89,2757.47
2026-05-23,فرع الشرق,صنف-121,مشروبات,37,205.85,7616.45
2026-05-23,فرع الشرق,صنف-136,مستلزمات,1,133.27,133.27
2026-05-23,فرع الشرق,صنف-112,مشروبات,1,90.21,90.21
2026-05-24,فرع الشرق,صنف-165,وجبات,32,150.18,4805.76
2026-05-24,فرع الشرق,صنف-136,حلويات,37,236.25,8741.25
2026-05-24,فرع الشرق,صنف-114,وجبات,15,127.09,1906.35
2026-05-24,فرع الشرق,صنف-189,مشروبات,32,198.04,6337.28
2026-05-24,فرع الشرق,صنف-145,خدمات,7,158.84,1111.88
2026-05-25,فرع الشرق,صنف-195,مستلزمات,26,223.5,5811.0
2026-05-25,فرع الشرق,صنف-103,مشروبات,28,222.67,6234.76
2026-05-26,فرع الشرق,صنف-169,وجبات,20,69.48,1389.6
2026-05-26,فرع الشرق,صنف-180,خدمات,11,97.93,1077.23
2026-05-26,فرع الشرق,صنف-176,وجبات,30,36.09,1082.7
2026-05-26,فرع الشرق,صنف-141,خدمات,3,90.38,271.14
2026-05-27,فرع الشرق,صنف-121,مستلزمات,36,186.79,6724.44
2026-05-27,فرع الشرق,صنف-132,مستلزمات,29,173.82,5040.78
2026-05-27,فرع الشرق,صنف-159,خدمات,15,35.88,538.2
2026-05-28,فرع الشرق,صنف-196,خدمات,13,70.53,916.89
2026-05-28,فرع الشرق,صنف-131,خدمات,10,182.22,1822.2
2026-05-28,فرع الشرق,صنف-120,حلويات,39,132.93,5184.27
