التاريخ,الفرع,الصنف,الفئة,الكمية,سعر الوحدة,الإجمالي
2026-05-01,فرع المستشفى,صنف-187,وجبات,13,231.6,3010.8
2026-05-01,فرع المستشفى,صنف-161,حلويات,5,249.34,1246.7
2026-05-01,فرع المستشفى,صنف-142,مشروبات,32,133.76,4280.32
2026-05-02,فرع المستشفى,صنف-180,خدمات,5,53.76,268.8
2026-05-02,فرع المستشفى,صنف-111,مشروبات,24,197.72,4745.28
2026-05-03,فرع المستشفى,صنف-163,خدمات,11,201.82,2220.02
2026-05-03,فرع المستشفى,صنف-188,مستلزمات,9,68.53,616.77
2026-05-03,فرع المستشفى,صنف-187,حلويات,4,187.52,750.08
2026-05-03,فرع المستشفى,صنف-181,خدمات,11,111.65,1228.15
2026-05-04,فرع المستشفى,صنف-180,خدمات,35,165.52,5793.2
2026-05-04,فرع المستشفى,صنف-132,مشروبات,5,242.27,1211.35
2026-05-04,فرع المستشفى,صنف-158,وجبات,16,53.51,856.16
2026-05-04,فرع المستشفى,صنف-173,خدمات,16,220.0,3520.0
2026-05-05,فرع المستشفى,صنف-187,مستلزمات,26,199.44,5185.44
2026-05-05,فرع المستشفى,صنف-111,حلويات,25,104.53,2613.25
2026-05-06,فرع المستشفى,صنف-154,حلويات,39,226.51,8833.89
2026-05-06,فرع المستشفى,صنف-177,حلويات,1,78.62,78.62
2026-05-06,فرع المستشفى,صنف-160,مشروبات,8,220.16,1761.28
2026-05-07,فرع المستشفى,صنف-118,مستلزمات,39,78.37,3056.43
2026-05-07,فرع المستشفى,صنف-145,حلويات,35,57.35,2007.25
2026-05-07,فرع المستشفى,صنف-137,مستلزمات,30,156.72,4701.6
2026-05-07,فرع المستشفى,صنف-123,حلويات,6,248.15,1488.9
2026-05-07,فرع المستشفى,صنف-130,مستلزمات,27,166.94,4507.38
2026-05-08,فرع المستشفى,صنف-123,وجبات,3,97.03,291.09
2026-05-08,فرع المستشفى,صنف-119,مستلزمات,18,86.5,1557.0
2026-05-09,فرع المستشفى,صنف-178,وجبات,15,91.13,1366.95
2026-05-09,فرع المستشفى,صنف-164,مستلزمات,20,127.42,2548.4
2026-05-09,فرع المستشفى,صنف-120,خدمات,13,214.9,2793.7
2026-05-09,فرع المستشفى,صنف-122,مستلزمات,34,7.22,245.48
2026-05-10,فرع المستشفى,صنف-184,وجبات,30,143.49,4304.7
2026-05-10,فرع المستشفى,صنف-170,حلويات,23,170.68,3925.64
2026-05-11,فرع المستشفى,صنف-109,وجبات,17,168.25,2860.25
2026-05-11,فرع المستشفى,صنف-134,خدمات,40,86.13,3445.2
2026-05-11,فرع المستشفى,صنف-190,حلويات,24,79.81,1915.44
2026-05-11,فرع المستشفى,صنف-107,مستلزمات,34,203.13,6906.42
2026-05-11,فرع المستشفى,صنف-102,مستلزمات,32,94.11,3011.52
2026-05-12,فرع المستشفى,صنف-139,مشروبات,36,97.41,3506.76
2026-05-12,فرع المستشفى,صنف-195,خدمات,10,183.57,1835.7
2026-05-13,فرع المستشفى,صنف-100,مشروبات,21,123.21,2587.41
2026-05-13,فرع المستشفى,صنف-173,حلويات,10,50.98,509.8
2026-05-13,فرع المستشفى,صنف-122,خدمات,3,249.44,748.32
2026-05-13,فرع المستشفى,صنف-130,خدمات,18,158.69,2856.42
2026-05-13,فرع المستشفى,صنف-170,حلويات,35,11.32,396.2
2026-05-14,فرع المستشفى,صنف-190,مشروبات,25,125.78,3144.5
2026-05-14,فرع المستشفى,صنف-173,حلويات,18,84.43,1519.74
2026-05-14,فرع المستشفى,صنف-144,مستلزمات,4,199.45,797.8
2026-05-14,فرع المستشفى,صنف-107,وجبات,13,131.42,1708.46
2026-05-14,فرع المستشفى,صنف-121,وجبات,20,185.89,3717.8
2026-05-15,فرع المستشفى,صنف-149,مشروبات,38,77.92,2960.96
2026-05-15,فرع المستشفى,صنف-160,حلويات,12,71.73,860.76
2026-05-15,فرع المستشفى,صنف-156,وجبات,40,83.62,3344.8
2026-05-15,فرع المستشفى,صنف-146,مستلزمات,7,171.98,1203.86
2026-05-16,فرع المستشفى,صنف-160,حلويات,25,199.35,4983.75
2026-05-16,فرع المستشفى,صنف-179,حلويات,8,54.97,439.76
2026-05-16,فرع المستشفى,صنف-181,مستلزمات,33,210.09,6932.97
2026-05-16,فرع المستشفى,صنف-135,وجبات,21,15.77,331.17
2026-05-16,فرع المستشفى,صنف-185,خدمات,31,167.03,5177.93
2026-05-17,فرع المستشفى,صنف-191,مشروبات,18,100.95,1817.1
2026-05-17,فرع المستشفى,صنف-180,مستلزمات,34,203.69,6925.46
2026-05-17,فرع المستشفى,صنف-101,مشروبات,17,115.17,1957.89
2026-05-17,فرع المستشفى,صنف-172,مشروبات,35,207.53,7263.55
2026-05-17,فرع المستشفى,صنف-146,حلويات,23,152.53,3508.19
2026-05-18,فرع المستشفى,صنف-112,وجبات,5,219.52,1097.6
2026-05-18,فرع المستشفى,صنف-191,خدمات,27,209.43,5654.61
2026-05-18,فرع المستشفى,صنف-122,مشروبات,20,45.65,913.0
2026-05-18,فرع المستشفى,صنف-195,مشروبات,26,101.65,2642.9
2026-05-19,فرع المستشفى,صنف-143,مستلزمات,26,127.45,3313.7
2026-05-19,فرع المستشفى,صنف-118,حلويات,12,179.48,2153.76
2026-05-19,فرع المستشفى,صنف-136,خدمات,34,106.34,3615.56
2026-05-19,فرع المستشفى,صنف-108,وجبات,14,87.99,1231.86
2026-05-20,فرع المستشفى,صنف-173,مشروبات,33,5.76,190.08
2026-05-20,فرع المستشفى,صنف-127,وجبات,37,110.98,4106.26
2026-05-20,فرع المستشفى,صنف-186,خدمات,18,197.38,3552.84
2026-05-20,فرع المستشفى,صنف-196,وجبات,10,59.43,594.3
2026-05-20,فرع المستشفى,صنف-136,وجبات,33,35.61,1175.13
2026-05-21,فرع المستشفى,صنف-190,مستلزمات,19,37.16,706.04
2026-05-21,فرع المستشفى,صنف-191,مستلزمات,40,224.58,8983.2
2026-05-22,فرع المستشفى,صنف-134,خدمات,39,206.94,8070.66
2026-05-22,فرع المستشفى,صنف-139,خدمات,14,226.45,3170.3
2026-05-23,فرع المستشفى,صنف-110,حلويات,37,243.83,9021.71
