التاريخ,الفرع,الصنف,الفئة,الكمية,سعر الوحدة,الإجمالي
2026-05-01,فرع الوسط,صنف-157,مستلزمات,31,99.51,3084.81
2026-05-01,فرع الوسط,صنف-135,حلويات,37,86.8,3211.6
2026-05-01,فرع الوسط,صنف-190,مشروبات,40,243.62,9744.8
2026-05-02,فرع الوسط,صنف-176,خدمات,1,208.67,208.67
2026-05-02,فرع الوسط,صنف-131,حلويات,38,110.0,4180.0
2026-05-02,فرع الوسط,صنف-177,مستلزمات,25,172.78,4319.5
2026-05-02,فرع الوسط,صنف-100,وجبات,29,74.41,2157.89
2026-05-03,فرع الوسط,صنف-175,حلويات,18,108.51,1953.18
2026-05-03,فرع الوسط,صنف-173,مشروبات,19,209.14,3973.66
2026-05-03,فرع الوسط,صنف-170,وجبات,18,243.97,4391.46
2026-05-03,فرع الوسط,صنف-169,مستلزمات,23,135.97,3127.31
2026-05-04,فرع الوسط,صنف-192,مستلزمات,13,197.98,2573.74
2026-05-04,فرع الوسط,صنف-186,وجبات,20,153.69,3073.8
2026-05-04,فرع الوسط,صنف-132,مستلزمات,30,178.54,5356.2
2026-05-04,فرع الوسط,صنف-158,خدمات,1,198.96,198.96
2026-05-04,فرع الوسط,صنف-145,خدمات,6,136.36,818.16
2026-05-05,فرع الوسط,صنف-133,وجبات,26,147.0,3822.0
2026-05-05,فرع الوسط,صنف-175,خدمات,21,121.76,2556.96
2026-05-06,فرع الوسط,صنف-123,وجبات,14,52.12,729.68
2026-05-06,فرع الوسط,صنف-145,حلويات,24,146.58,3517.92
2026-05-06,فرع الوسط,صنف-131,مستلزمات,34,214.95,7308.3
2026-05-07,فرع الوسط,صنف-147,مستلزمات,24,217.26,5214.24
2026-05-07,فرع الوسط,صنف-176,مستلزمات,6,43.26,259.56
2026-05-08,فرع الوسط,صنف-102,حلويات,18,132.27,2380.86
2026-05-08,فرع الوسط,صنف-172,مشروبات,3,55.14,165.42
2026-05-09,فرع الوسط,صنف-199,خدمات,37,57.33,2121.21
2026-05-09,فرع الوسط,صنف-157,حلويات,28,28.79,806.12
2026-05-09,فرع الوسط,صنف-132,خدمات,39,241.05,9400.95
2026-05-09,فرع الوسط,صنف-123,مشروبات,22,54.24,1193.28
2026-05-09,فرع الوسط,صنف-104,مستلزمات,6,11.74,70.44
2026-05-10,فرع الوسط,صنف-108,مستلزمات,32,237.07,7586.24
2026-05-10,فرع الوسط,صنف-190,خدمات,26,230.93,6004.18
2026-05-10,فرع الوسط,صنف-129,مشروبات,17,83.08,1412.36
2026-05-10,فرع الوسط,صنف-157,مشروبات,33,101.31,3343.23
2026-05-11,فرع الوسط,صنف-128,حلويات,16,247.97,3967.52
2026-05-11,فرع الوسط,صنف-145,وجبات,3,235.72,707.16
2026-05-11,فرع الوسط,صنف-106,مشروبات,36,226.62,8158.32
2026-05-12,فرع الوسط,صنف-118,خدمات,31,18.66,578.46
2026-05-12,فرع الوسط,صنف-186,حلويات,1,235.15,235.15
2026-05-12,فرع الوسط,صنف-197,حلويات,38,149.91,5696.58
2026-05-12,فرع الوسط,صنف-132,مشروبات,31,84.36,2615.16
2026-05-13,فرع الوسط,صنف-121,مشروبات,24,122.92,2950.08
2026-05-13,فرع الوسط,صنف-186,مستلزمات,16,202.85,3245.6
