التاريخ,الفرع,الصنف,الفئة,الكمية,سعر الوحدة,الإجمالي
2026-05-01,فرع المطار,صنف-150,وجبات,9,108.08,972.72
2026-05-01,فرع المطار,صنف-105,مستلزمات,3,203.27,609.81
2026-05-02,فرع المطار,صنف-179,خدمات,18,229.89,4138.02
2026-05-02,فرع المطار,صنف-104,حلويات,35,202.55,7089.25
2026-05-03,فرع المطار,صنف-155,حلويات,8,132.47,1059.76
2026-05-03,فرع المطار,صنف-139,وجبات,3,75.44,226.32
2026-05-04,فرع المطار,صنف-165,وجبات,8,19.78,158.24
2026-05-04,فرع المطار,صنف-168,حلويات,6,119.27,715.62
2026-05-04,فرع المطار,صنف-116,وجبات,29,35.36,1025.44
2026-05-04,فرع المطار,صنف-135,حلويات,27,146.45,3954.15
2026-05-05,فرع المطار,صنف-158,مشروبات,35,75.36,2637.6
2026-05-05,فرع المطار,صنف-149,خدمات,37,59.3,2194.1
2026-05-05,فرع المطار,صنف-158,وجبات,36,179.04,6445.44
2026-05-06,فرع المطار,صنف-139,خدمات,31,119.9,3716.9
2026-05-06,فرع المطار,صنف-124,مشروبات,16,86.75,1388.0
2026-05-06,فرع المطار,صنف-174,خدمات,35,98.88,3460.8
2026-05-06,فرع المطار,صنف-120,مستلزمات,1,231.43,231.43
2026-05-07,فرع المطار,صنف-134,حلويات,36,84.74,3050.64
2026-05-07,فرع المطار,صنف-198,حلويات,14,77.4,1083.6
2026-05-07,فرع المطار,صنف-177,مشروبات,11,140.03,1540.33
2026-05-08,فرع المطار,صنف-156,مستلزمات,4,131.66,526.64
2026-05-08,فرع المطار,صنف-186,حلويات,7,132.63,928.41
2026-05-08,فرع المطار,صنف-145,وجبات,27,87.57,2364.39
2026-05-08,فرع المطار,صنف-135,وجبات,13,155.99,2027.87
2026-05-09,فرع المطار,صنف-190,مستلزمات,18,197.31,3551.58
2026-05-09,فرع المطار,صنف-100,وجبات,27,218.35,5895.45
2026-05-10,فرع المطار,صنف-150,خدمات,38,33.77,1283.26
2026-05-10,فرع المطار,صنف-135,خدمات,10,107.39,1073.9
2026-05-10,فرع المطار,صنف-157,خدمات,39,32.2,1255.8
2026-05-10,فرع المطار,صنف-137,مستلزمات,19,182.15,3460.85
2026-05-10,فرع المطار,صنف-176,حلويات,26,133.9,3481.4
2026-05-11,فرع المطار,صنف-163,حلويات,1,197.83,197.83
2026-05-11,فرع المطار,صنف-168,مستلزمات,29,78.51,2276.79
2026-05-11,فرع المطار,صنف-148,حلويات,10,111.73,1117.3
2026-05-11,فرع المطار,صنف-142,خدمات,15,26.54,398.1
2026-05-11,فرع المطار,صنف-141,حلويات,39,210.35,8203.65
2026-05-12,فرع المطار,صنف-132,مستلزمات,1,11.27,11.27
2026-05-12,فرع المطار,صنف-168,خدمات,32,78.46,2510.72
2026-05-12,فرع المطار,صنف-155,حلويات,35,156.9,5491.5
2026-05-13,فرع المطار,صنف-176,مستلزمات,30,92.64,2779.2
2026-05-13,فرع المطار,صنف-186,حلويات,29,237.24,6879.96
2026-05-13,فرع المطار,صنف-152,مشروبات,34,61.17,2079.78
2026-05-13,فرع المطار,صنف-171,حلويات,33,103.22,3406.26
2026-05-13,فرع المطار,صنف-153,خدمات,10,220.56,2205.6
2026-05-14,فرع المطار,صنف-175,مستلزمات,29,193.0,5597.0
2026-05-14,فرع المطار,صنف-111,حلويات,34,187.88,6387.92
2026-05-14,فرع المطار,صنف-109,وجبات,24,82.93,1990.32
2026-05-14,فرع المطار,صنف-183,حلويات,33,48.02,1584.66
2026-05-14,فرع المطار,صنف-165,حلويات,22,206.04,4532.88
2026-05-15,فرع المطار,صنف-165,وجبات,34,76.03,2585.02
2026-05-15,فرع المطار,صنف-152,وجبات,33,223.82,7386.06
2026-05-15,فرع المطار,صنف-177,وجبات,4,159.37,637.48
2026-05-15,فرع المطار,صنف-180,مشروبات,23,144.62,3326.26
2026-05-15,فرع المطار,صنف-100,مشروبات,27,7.63,206.01
2026-05-16,فرع المطار,صنف-150,خدمات,1,229.67,229.67
2026-05-16,فرع المطار,صنف-103,مشروبات,38,8.78,333.64
2026-05-16,فرع المطار,صنف-170,وجبات,12,126.98,1523.76
2026-05-16,فرع المطار,صنف-168,خدمات,18,218.43,3931.74
2026-05-17,فرع المطار,صنف-115,خدمات,13,105.72,1374.36
2026-05-17,فرع المطار,صنف-165,وجبات,11,132.01,1452.11
2026-05-17,فرع المطار,صنف-121,مشروبات,2,29.53,59.06
2026-05-18,فرع المطار,صنف-107,مستلزمات,40,110.5,4420.0
2026-05-18,فرع المطار,صنف-191,مشروبات,38,84.09,3195.42
2026-05-18,فرع المطار,صنف-104,وجبات,23,72.48,1667.04
2026-05-18,فرع المطار,صنف-174,حلويات,7,215.54,1508.78
2026-05-18,فرع المطار,صنف-179,مشروبات,23,51.95,1194.85
2026-05-19,فرع المطار,صنف-150,مشروبات,4,58.91,235.64
2026-05-19,فرع المطار,صنف-179,خدمات,3,112.71,338.13
2026-05-19,فرع المطار,صنف-120,وجبات,16,59.61,953.76
2026-05-19,فرع المطار,صنف-158,خدمات,12,82.12,985.44
2026-05-19,فرع المطار,صنف-163,حلويات,27,152.63,4121.01
2026-05-20,فرع المطار,صنف-174,وجبات,25,170.35,4258.75
2026-05-20,فرع المطار,صنف-191,وجبات,27,80.74,2179.98
2026-05-21,فرع المطار,صنف-121,مشروبات,16,26.43,422.88
2026-05-21,فرع المطار,صنف-137,حلويات,25,50.71,1267.75
2026-05-21,فرع المطار,صنف-142,مستلزمات,36,93.92,3381.12
2026-05-21,فرع المطار,صنف-183,خدمات,25,87.29,2182.25
2026-05-21,فرع المطار,صنف-144,مشروبات,8,108.46,867.68
2026-05-22,فرع المطار,صنف-144,مستلزمات,13,119.42,1552.46
2026-05-22,فرع المطار,صنف-185,وجبات,28,13.55,379.4
2026-05-22,فرع المطار,صنف-130,مشروبات,22,202.19,4448.18
2026-05-23,فرع المطار,صنف-116,مشروبات,13,71.07,923.91
2026-05-23,فرع المطار,صنف-130,خدمات,29,119.43,3463.47
2026-05-23,فرع المطار,صنف-192,وجبات,24,91.47,2195.28
2026-05-24,فرع المطار,صنف-160,مستلزمات,38,55.97,2126.86
2026-05-24,فرع المطار,صنف-157,خدمات,14,60.68,849.52
2026-05-24,فرع المطار,صنف-156,وجبات,17,151.01,2567.17
2026-05-24,فرع المطار,صنف-151,خدمات,24,135.99,3263.76
2026-05-24,فرع المطار,صنف-196,خدمات,33,57.07,1883.31
2026-05-25,فرع المطار,صنف-134,خدمات,6,137.94,827.64
2026-05-25,فرع المطار,صنف-172,مستلزمات,2,166.09,332.18
2026-05-26,فرع المطار,صنف-111,حلويات,1,100.53,100.53
2026-05-26,فرع المطار,صنف-184,وجبات,15,83.65,1254.75
2026-05-26,فرع المطار,صنف-146,مشروبات,5,142.69,713.45
2026-05-27,فرع المطار,صنف-111,وجبات,5,181.09,905.45
2026-05-27,فرع المطار,صنف-191,وجبات,19,35.9,682.1
2026-05-27,فرع المطار,صنف-159,مستلزمات,19,92.2,1751.8
2026-05-27,فرع المطار,صنف-146,وجبات,18,48.22,867.96
2026-05-28,فرع المطار,صنف-189,مستلزمات,2,166.47,332.94
2026-05-28,فرع المطار,صنف-151,مستلزمات,16,249.99,3999.84
2026-05-28,فرع المطار,صنف-114,حلويات,7,49.51,346.57
2026-05-28,فرع المطار,صنف-191,حلويات,39,184.84,7208.76
